work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_20049589,user-4758,Evitative,Vichan,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,17 Feb 2020,"['Draco Malfoy/Harry Potter', 'Hermione Granger & Harry Potter', 'Sirius Black & Harry Potter', 'Pansy Parkinson & Harry Potter', 'Draco Malfoy & Harry Potter', 'Harry Potter & Blaise Zabini']","['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Sirius Black', 'Pansy Parkinson', 'Blaise Zabini', 'Theodore Nott', 'Daphne Greengrass']","['Slytherin Harry Potter', 'Dark Arts', 'Hogwarts Fifth Year', 'Dark Harry Potter', 'Slytherins Being Slytherins', 'Alternate Hogwarts House Sorting', 'Re-Sorting', 'Dark Magic', 'Slow Burn', 'Slytherin Pride', 'Protective Slytherins', 'Pureblood Politics (Harry Potter)']",No summary,English,222453,29/29,5451,35597,10255,923071
work_10920276,user-591027,If You Had This Time Again,dls,['Marvel Cinematic Universe'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,21 Mar 2019,['Loki/Tony Stark'],"['Tony Stark', 'Loki (Marvel)', 'Steve Rogers', 'Bruce Banner', 'Thor (Marvel)', 'Natasha Romanoff', 'Clint Barton', 'Jarvis (Iron Man movies)', 'Pepper Potts', 'James ""Rhodey"" Rhodes', 'Jane Foster (Marvel)', 'Darcy Lewis', 'James ""Bucky"" Barnes', 'Guardians of the Galaxy Team', ""T'Challa (Marvel)"", 'Shuri (Marvel)', 'Thanos (Marvel)', 'Stephen Strange']","['Alternate Universe - Canon Divergence', 'Alternate Universe - Time Travel', 'Time Travel Fix-It', 'Fix-It of Sorts', 'Civil War Team Iron Man', 'Comic Book Science', 'Canon-Typical Violence', 'Tony Stark-centric', 'Slow Burn', 'Canon Divergence - Post-Avengers (2012)', 'Translation Available']",No summary,English,268000,100/100,25353,35365,8899,1322785
work_5293532,user-9,House of Cards,sugamins (orphan_account),['방탄소년단 | Bangtan Boys | BTS'],Explicit,['Graphic Depictions Of Violence'],['M/M'],Complete Work,22 May 2016,"['Jeon Jungkook/Kim Taehyung | V', 'Jeon Jungkook/Park Jimin', 'Kim Taehyung | V/Park Jimin', 'Jeon Jungkook/Kim Taehyung | V/Park Jimin']","['Kim Taehyung | V', 'Jeon Jungkook', 'Kim Namjoon | Rap Monster', 'Park Jimin (BTS)', 'Kim Seokjin | Jin', 'Min Yoongi | Suga', 'Jung Hoseok | J-Hope']","['Alternate Universe - Gangsters', 'Gang Violence', 'Violence', 'Drugs', 'Drug Use', 'Explicit Sexual Content', 'Explicit Language', 'Blood and Gore', 'Blood and Torture', 'Gambling', 'Gunplay', 'Undercover', 'Disturbing Themes', 'Homophobic Language', 'Attempted Rape/Non-Con', 'Xenophobia', 'Dom/sub', 'Threesome - M/M/M', 'Drug Addiction']",No summary,English,394890,25/25,3946,35192,9789,1671230
work_39331002,user-8232352,Not So Bad,outofmygourd,['Stranger Things (TV 2016)'],Mature,['No Archive Warnings Apply'],['M/M'],Complete Work,05 Jun 2022,"['Steve Harrington/Eddie Munson', 'Robin Buckley/Vickie', 'Will Byers/Mike Wheeler', 'Maxine ""Max"" Mayfield/Lucas Sinclair', 'Jonathan Byers/Nancy Wheeler']","['Steve Harrington', 'Eddie Munson', 'Robin Buckley', 'Vickie (Stranger Things)', 'Dustin Henderson', 'Mike Wheeler', 'Eleven | Jane Hopper', 'Lucas Sinclair', 'Maxine ""Max"" Mayfield', 'Argyle (Stranger Things)', 'Jonathan Byers', 'Nancy Wheeler', 'Will Byers']","['Stranger Things Spoilers', 'Post-Stranger Things 4', 'Vecna is dead', ""Volume 2 isn't out yet so this is probably canon divergence"", 'this is assuming everyone lived', 'Frenemies', 'frenemies to lovers', 'Drinking', 'Underage Drinking', 'Recreational Drug Use', 'we die like bob', 'Slow Burn', 'Mostly not beta read', 'all ships besides steve/eddie are background', 'Gay Eddie Munson', 'Bisexual Steve Harrington', ""LMAOO so yeah i'd say this isn't vol2 compliant""]",No summary,English,43409,9/9,2221,34953,7975,473431
work_1488142,user-110438,Mistake on the Part of Nature,idiopathicsmile,['Captain America (Movies)'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,19 Apr 2014,"['James ""Bucky"" Barnes/Steve Rogers']","['James ""Bucky"" Barnes', 'Steve Rogers']",['No Freeform Tags'],No summary,English,1274,1/1,779,34411,6209,339088
work_3171550,user-203828,Running on Air,eleventy7,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['Multi'],Complete Work,25 Dec 2014,"['Draco Malfoy/Harry Potter', 'Harry/Ginny', 'past Draco/Astoria']","['Draco Malfoy', 'Harry Potter', 'Hermione Granger', 'Ron Weasley', 'Astoria Greengrass', 'Ginny Weasley']","['Mystery', 'Drama', 'Friendship', 'Slow Burn']",No summary,English,74875,17/17,3598,34363,11565,653855
work_1227880,user-211835,All Our Secrets Laid Bare,firethesound,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,23 Feb 2014,"['Draco Malfoy/Harry Potter', 'Hermione Granger/Ron Weasley', 'Harry Potter/Original Male Character(s)']","['Draco Malfoy', 'Harry Potter', 'Ron Weasley', 'Hermione Granger', 'Original Male Character(s)', 'Original Female Character(s)', 'Lucius Malfoy', 'Narcissa Black Malfoy', 'Kingsley Shacklebolt']","['Auror Partners', 'Sexual Content', 'Wandless Magic', 'Mystery', 'Investigations', 'Magical Tattoos', 'Getting Together', 'Trapped', 'Secrets', 'Secret Relationship', 'Shower Sex', 'First Time', 'Loss of Virginity', 'Blow Jobs', 'Office Sex', 'Duelling', 'Falling In Love', 'Hats', 'Glasses', 'Curry', 'Tea', 'Bars and Pubs']",No summary,English,149549,16/16,3140,34181,10692,791889
work_1651109,user-149808,Text Talk,merlywhirls,['Harry Potter - J. K. Rowling'],Not Rated,"['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']",['No category'],Complete Work,31 Dec 2015,"['Sirius Black/Remus Lupin', 'wolfstar - Relationship']","['Sirius Black', 'Remus Lupin', 'James Potter', 'Peter Pettigrew', 'Moony', 'Wormtail', 'Padfoot', 'Prongs', 'Lily Evans', 'Lily Potter', 'Alice Longbottom', 'Frank Longbottom']","['text', 'Texting', 'text fic', 'Hospital', 'Boarding School', 'MWPP', 'Marauders era', 'The Marauders - Freeform', 'Maurders AU', 'AU', 'Alternate Universe', 'Modern AU', 'texting fic', 'School', 'Injury', 'Mention of family abuse', 'mention of depression', 'family stuff', 'Parents', 'Illness', 'Homophobic Slurs']",No summary,English,141250,14/14,3212,33667,8200,752270
work_8163464,user-797396,True Love,platonic_boner,['Merlin (TV)'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,29 Sep 2016,['Merlin/Arthur Pendragon (Merlin)'],"['Merlin (Merlin)', 'Arthur Pendragon (Merlin)', 'Lancelot (Merlin)']","['Canon Era', 'Soulmate AU', 'Angst with a Happy Ending', 'Mutual Pining', 'Misunderstandings']",No summary,English,6927,1/1,464,32927,4850,265542
work_3346724,user-208467,In Transit,Mysecretfanmoments,['Haikyuu!!'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,13 Feb 2015,['Hinata Shouyou/Kageyama Tobio'],"['Kageyama Tobio', 'Hinata Shouyou', 'Karasuno Volleyball Club']","['kagehina as second years', 'Getting Together']",No summary,English,4719,1/1,664,32530,5889,219639
